name,phone,type,area,stars,website
Apapa Idali Dosa Center,N/A,hotel,,,
Apple Tree,N/A,hotel,,,
Ashish Plaza,N/A,hotel,,,
Ashiyana Lodge,N/A,hostel,,,
Ashley House,N/A,guest_house,,,
"Aura Celestia - Bar, Kitchen & Celebration",N/A,hotel,,,
Aurora Towers,N/A,hotel,,,
B.J. Medical College Girls Hostel,N/A,hostel,,,
BJS Boy's Hostel,N/A,hostel,Pune,,
BJS Girl's Hostel,N/A,hostel,Pune,,
Badri Rathod Boys Hostel,N/A,hostel,,,
Balaji PG,N/A,hostel,,,
Banyan Tree,N/A,hotel,nigdi,,
Bestow Inn,N/A,motel,,,
Bhakti Apartment,N/A,apartment,,,
Bhakti PG Apartment,N/A,hostel,Hinjewadi,,
Bhalchandra,N/A,apartment,,,
Bharat Vihar,N/A,apartment,,,
Birajdar PGs,N/A,hostel,,,
Boys Hostel,N/A,hostel,,,
Boys Hostel - NO 9,N/A,hostel,,,
Calendula,N/A,hostel,,,
Central Government Touring Officers Guest House,N/A,guest_house,,,
Central Park,N/A,hotel,,,
Chaitanya Girls Hostel,N/A,hostel,,,
Chandan Heights,N/A,apartment,,,
Chandrakant Residency A,N/A,apartment,,,
Chandrat,N/A,apartment,,,
City Point Restaurant and Bar,N/A,hotel,,,
Coronet Hotel,N/A,hotel,,,
Crowne Plaza,N/A,hotel,,,
D Building,N/A,apartment,,,
"DD Farms, Mulshi",N/A,guest_house,,,
DRDO Diat Guest House,N/A,guest_house,,,
Da Casa Business Hotel डा कासा बिज़नस होटल,N/A,hotel,,,http://dacasahotel.com/
Deccan Rendezvous,N/A,hotel,Pune,,
Dnyaneshwari Niwas,N/A,apartment,,,
Ekaant- The Retreat Hotel,N/A,hotel,"Dasve, Lavasa",,http://www.ekaant.com/
Eminent Hotel,N/A,hotel,Pune,,
Executive Tamanna,N/A,hotel,,,
Executive Training Centre and Hostel - Club House,N/A,hostel,,,https://cdsaindia.org/etch
FabExpress SRH,N/A,hotel,Pune,,https://www.fabhotels.com/?source=google&medium=ppc&campaignid=1751436608&adgroupid=67318237623&device=c&keyword=fabhotels
FabHotels FabExpress The Corporate Hub,N/A,hotel,,,https://www.fabhotels.com/hotels-in-pune/fabexpress-the-corporate-hub-giyeqqqp.html
FabHotels Imperio,N/A,hotel,,,
Flagship Sai,N/A,motel,,,
Fortune Select Dasve,N/A,hotel,"Dasve, Lavasa",,https://www.fortunehotels.in/resort/Lavasa-Fortune_Select_Dasve.aspx
Gandharva Hotel,N/A,hotel,,,
Garuda,N/A,hotel,,,
Gavkos,N/A,motel,,,
Ghode House Dhanori,N/A,guest_house,Pune,,
Ginger Hotel,N/A,hotel,,,
Ginger hotel,N/A,hotel,,,
Giriraj Farm Hill Resort,N/A,guest_house,,,
Girls Hostel,N/A,hostel,Talegaoion,,https://iiitp.ac.in
Girls' Hostel Pune University,N/A,hostel,Pune,,
Golden Fields,N/A,hotel,,,
GoodLuck,N/A,hotel,,,
Government VVIP Rest House,N/A,guest_house,,,
Govind Hari Vadevale,N/A,hotel,,,
Grand Regency PG,N/A,hostel,,,
Grand Tamanna Hotel,N/A,hotel,,,https://tamannahotels.com/hotels-hinjawadi-pune/
Guest House,N/A,guest_house,Pune,,
Gurudatta PG,N/A,hostel,,,
H.A. Hotel,N/A,hotel,pimpri,,
HARIYALADAMMA ENTERPRISES,N/A,hotel,,,
Harita Comfort Inn PG,N/A,hostel,,,
HelloWorld Embassy.,N/A,hostel,,,
Hill Top,N/A,hotel,,,
Hill View,N/A,hotel,,,
Hill View Girls Hostel,N/A,hostel,,,
Holiday Inn Express Pune Hinjawadi,N/A,hotel,,,https://www.ihg.com/holidayinnexpress/hotels/gb/en/maharashtra/mhzph/hoteldetail
Hoshtel99 - Prime - bunks and private rooms,N/A,hostel,,,
Hostel No. 6,N/A,hostel,Pune,,
Hotel Abhijeet New Sweet Home,N/A,hotel,,,
Hotel Agatya,N/A,hotel,,,
Hotel Amrale Misal,N/A,hotel,,,
Hotel Amrita Executive,N/A,hotel,,,
Hotel Arjun,N/A,hotel,,,
Hotel Arusai,N/A,hotel,Pune,,
Hotel Ashirwad,N/A,hotel,,,
Hotel Ashoka,N/A,hotel,,,
Hotel Bhooshan,N/A,hotel,,,
Hotel Centro,N/A,hotel,,,
Hotel Crown Imperial,N/A,hotel,,,
Hotel Executive Residency,N/A,hotel,,,
Hotel Garawa,N/A,hotel,,,
Hotel Green Park,N/A,hotel,,,
Hotel Gulmohr,N/A,hotel,,,
Hotel Haveli,N/A,hotel,,,
Hotel Janjira,N/A,hotel,,,
Hotel Jolly Restro Bar & Lodge,N/A,hotel,,,
Hotel Kala Sagar,N/A,hotel,,,
Hotel Kohinoor Jejuri,N/A,hotel,,,
Hotel Krishna,N/A,hotel,,,
Hotel Lotus,N/A,hotel,,,
Hotel Madhav,N/A,hotel,,,
Hotel Maharaja,N/A,hotel,,,
Hotel Martand Vijay Lodge,N/A,hotel,,,
Hotel Mukesh,N/A,motel,,,
Hotel Muktai Veg & Non Veg,N/A,hotel,Pune,,
Hotel Pioneer,N/A,hotel,,,
Hotel Radiant Lodge,N/A,hotel,Pune,,
Hotel Raj,N/A,hotel,,,
Hotel Royal Palace,N/A,hotel,,,
Hotel Samrat,N/A,hotel,,,
Hotel Samrat Lodge,N/A,hotel,,,
Hotel Sargam,N/A,hotel,,,
Hotel Sarthak Lodge,N/A,hotel,,,
Hotel Suruchi Satyam Lodge,N/A,hotel,,,
Hotel Tip Top International,N/A,hotel,,,
Hotel Turning Point,N/A,hotel,,,
Hotel Woodland,N/A,hotel,Pune,,
Hotel kunal garden,N/A,hotel,Pune,,
Hotel prathamjay,N/A,hotel,pune,,
Housemate Hotels and Restaurent,N/A,hotel,,,
Hyatt Palace,N/A,hotel,Pune,,
Hyatt Regency Pune,N/A,hotel,Pune,,
Hygiene hotel,N/A,hotel,PUNE,,
I Love Delight Chinese,N/A,hotel,,,
"I2IT,Hostel",N/A,hostel,,,
ICAR-NRC Grapes,N/A,guest_house,,,
IISER New Hall of Residence,N/A,hostel,,,
Ibis,N/A,hotel,,,
Ibis Hinjawadi,N/A,hotel,,,
Ibis Pune Viman Nagar,N/A,hotel,,,
Indrayani boys hostel,N/A,hostel,,,
International Boys Hostel,N/A,hostel,,,
International Girls Hostel,N/A,hostel,,,
JSPM's Girls' Hostel A,N/A,hostel,,,
JSPM's Girls' Hostel B,N/A,hostel,,,
JW Marriott Pune,N/A,hotel,,5,
Jagdamba Apartment,N/A,apartment,,,
Jayshree Executive,N/A,hotel,,,
Jijai Heights,N/A,apartment,,,
Jijai Palace,N/A,apartment,,,
Jugglers Backpack,N/A,motel,,,
Kapila Business Hotel,N/A,hotel,Pune,,https://www.kapila.com
Keys Hotel,N/A,hotel,,,
Kohinoor Executive,N/A,hotel,,,https://www.kohinoorhotels.com/Executive/info.htm
Konark Towers,N/A,apartment,,,
Krishna Hotel And Restaurant,N/A,hotel,,,
Kunal Hotel,N/A,hotel,,,
Kwality Biryani,N/A,hotel,,,
L 10,N/A,hostel,,,
Lake Vintage,N/A,apartment,,,
Lakevilla,N/A,guest_house,,,
Lashika's house,N/A,guest_house,pune,,
Lemon Tree Hotel,N/A,hotel,,,https://www.lemontreehotels.com/lemon-tree-hotel/pune/hinjawadi-pune.aspx
Lotus,N/A,hostel,,,
MAE girls hostel,N/A,hostel,,,
MIT Boys Hostel,N/A,hostel,,,
MIT Institite Of Design,N/A,hostel,,,
MTDC Resort,N/A,hotel,,,https://www.maharashtratourism.gov.in/mtdc/HTML/MaharashtraTourism/PlanYourTrip/resortshotels.aspx
Magnus Riverside,N/A,hotel,,,https://www.staymagnus.com/magnus-riverside-kalyani-nagar/
Mahi Dhaba,N/A,hotel,,,
Main Boys Hostel,N/A,hostel,Pune,,
Main Girls Hostel,N/A,hostel,Pune,,
Marwadi Sammelan Dharmashala,N/A,hostel,,,
Mastiff Hotel,N/A,hotel,,,https://www.orangetigerhotels.com/mastiff-hotels/mastiff-hotel-hinjawadi-pune/pune-hotels
Mauli Dhaba,N/A,hotel,,,
Mauli PG,N/A,hostel,,,
Maval Food Junction,N/A,hotel,,,
Maval Grrand,N/A,hotel,,,
Mecure Hotel,N/A,hotel,"Dasve, Lavasa",,
Meghbindu Boys' Hostel,N/A,hostel,,,
Meghmalhar,N/A,apartment,Pune,,
Mejwani pure veg,N/A,hotel,Pune,,
Mind Space Hotel,N/A,hotel,Pune,,
Mokhshitha Reddy Studio Rooms PG,N/A,hostel,,,
Moneta,N/A,hotel,Pune,,
Mukta Residency,N/A,apartment,,,
Nalanda,N/A,hostel,,,
Nana Shri Hotel,N/A,hotel,,,
Neela Executive,N/A,hotel,,,
New Boys Hostel,N/A,hostel,Pune,,
New Girls Hostel,N/A,hostel,Pune,,
New Ladies Hostel,N/A,hostel,Pune,,
New Shree 9 PG,N/A,hostel,Pune,,
Nishigandha,N/A,hotel,,,
Noorya Hometel,N/A,hotel,,,
Novotel,N/A,motel,,,
Novotel Pune Nagar Road,N/A,hotel,,,
O Hotel Pune,N/A,hotel,,,
OYO Flagship IT Park,N/A,hotel,,,
OYO Hotel G Residency near INOX,N/A,hotel,,,
OYO Townhouse,N/A,hotel,,,
OYO Vys Inn,N/A,hotel,,,
Om Sai Khanaval,N/A,hotel,,,
Om Shiv Sai PG,N/A,hostel,,,
Oyo Kamini,N/A,hotel,,,
P.G.HOSTEL,N/A,hostel,,,
PCCOE Hostel,N/A,hostel,,,
Panchratna,N/A,hotel,,,
Pankaj Society,N/A,apartment,,,
Park Central Hotel,N/A,motel,,,
Parmar Park,N/A,apartment,,,
Petals PG,N/A,hostel,,,
Petunia,N/A,hostel,,,
Premier Tamanna Hotel,N/A,hotel,,,
Pride,N/A,hotel,,,
Prince Regency,N/A,hotel,,,
Pune University Guest House,N/A,guest_house,Pune,,
Radison Blu Hotel,N/A,hotel,Kharadi,,https://www.radissonhotels.com/en-us/hotels/radisson-blu-kharadi-pune
Radisson Blu,N/A,hotel,,,
Rahane Arcade,N/A,apartment,,,
Rahul Biryani,N/A,hotel,,,
Raj Mahal,N/A,hotel,,,
"Rajgad Boys Hostel, Sinhgad Institute of Technology and Scinece",N/A,hostel,,,
Rajratna Executive,N/A,hotel,,,
Rajwada Hotel,N/A,hotel,,,
Ranadeep Lodge,N/A,motel,,,
Ravi Park,N/A,apartment,,,
Raviraj,N/A,hotel,,,
Regenta,N/A,hotel,,,
Ritz Hotel,N/A,hotel,,,
Royal Hotel,N/A,hotel,Pune,,
Royalty,N/A,hotel,Pune,,
Rupa Lodge,N/A,hotel,,,
SN Bose Hostel,N/A,hostel,,,
Sadanand,N/A,hotel,,,
Sadguru Wade Wale And Special Missile House,N/A,hotel,,,
Sagar Plaza,N/A,hotel,,,
Sai Residency,N/A,apartment,,,
Sai Vishwa Lodge,N/A,hotel,,,
Samadhan Mutton Khanawal,N/A,hotel,,,
Samrat Lodge and Restaurant,N/A,hotel,,,
Sanavi Lodge,N/A,hotel,,,
Sangam hotel,N/A,hotel,saswad,,
Sanghvi steel complex,N/A,hotel,Pune,,
Satyam Shrey,N/A,apartment,,,
Saumitra,N/A,apartment,,,
Savera,N/A,hotel,chakan,,
Savitri Working Women's Hostel,N/A,hostel,,,
Sayaji,N/A,hotel,,5,https://www.sayajihotels.com/sayaji-pune/overview
Seven Loves,N/A,hotel,Pune,,
Sheraton Grand,N/A,hotel,,,
Sheraton Grand Pune,N/A,hotel,,,
Shiv Shahi Complex,N/A,apartment,,,
Shivneri Food Mall,N/A,hotel,,,
Shree Inn,N/A,hotel,,,
Shree Swami Landmark,N/A,apartment,,,
Shree Vitthal Dhaba,N/A,hotel,,,
Shreemangal Palace,N/A,apartment,,,
Shrikunjshri,N/A,apartment,,,
Shubham Misal,N/A,hotel,Ravet,,
Siddeshwar hotel,N/A,hotel,,,
Sirona,N/A,hotel,,,
Siya Girls' Hostel,N/A,hostel,Pune,,
Smart Inn,N/A,hotel,,,http://www.smartinn.co.in/
Sonai veg,N/A,hotel,,,
Sriman,N/A,hotel,,,
St. Laurn Business Hotel,N/A,hotel,Pune,,
Stanza Living Tallinn House,N/A,hostel,,,
Stonarc,N/A,hotel,,,
Sukalyan,N/A,apartment,,,
Sun N Sand,N/A,hotel,,,
Surya Villa Hotel,N/A,motel,,,
Symbiosis,N/A,hostel,,,
Symbiosis Cherry Blossom Hostel,N/A,hostel,,,
Symbiosis Girls Hostel,N/A,hostel,kiwale,,
Symbiosis Viswabhavan Girls Hostel,N/A,hostel,,,
Takshashila,N/A,apartment,,,
Thakur PG,N/A,hostel,,,
The Dasvino Town and Country Club,N/A,hotel,"Dasve, Lavasa",,
The Deccan Royale Hotel,N/A,hotel,Pune,,
The Golden Arc Boutique Hotel,N/A,hotel,,,
The Gordon House,N/A,hotel,,,
The Monarch Chakan,N/A,hotel,,,
The O Hotel,N/A,hotel,,,
The Oakwood Hotel,N/A,hotel,,3,
The Pride Hotel,N/A,hotel,Pune,,https://www.pridehotel.com/pune-hotels/
Treebo Hotels Guest House,N/A,hotel,,,
Treebo Ranjana's,N/A,hotel,,,
Treebo Sumati Baner,N/A,hotel,,,
Treebo Trend Niraali Executive,N/A,hotel,,,
Vaibhav Hotel,N/A,hotel,,,
Vantagio,N/A,hotel,,,
Venkatesh Heritage,N/A,apartment,,,
Vib O Stay,N/A,hostel,,,
Vijaya Smruti,N/A,apartment,,,
Visvesvaraya Hostel (OBH),N/A,hostel,,,
Vithu Mauli Dhaba,N/A,hotel,,,
Vitthal Complex,N/A,apartment,,,
Viva Inn,N/A,hotel,,,
Vrindavan Misal,N/A,hotel,,,
Vrundavan Vihar,N/A,apartment,,,
WESTIN,N/A,hotel,,,
Wadia College boys hostel,N/A,hostel,,,
Wellesley Hotel,N/A,hotel,,,http://www.wellesleyhotel.in/
Wonder Futura,N/A,apartment,,,
YKS Sizzlers,N/A,hotel,,,
Yash Villa,N/A,guest_house,,,
Youthville Co-Living PG (Balewadi 1),N/A,hostel,Pune,,
Zolo Ample,N/A,hostel,,,
Zolo Encore Co-Living PG,N/A,hostel,,,
Zolo Highrollers,N/A,hostel,,,
Zolo House of Black Beard,N/A,hostel,,,
Zolo Riverrun,N/A,hostel,,,
Zolo Sparkle,N/A,hostel,,,
annapurna hotel,N/A,hotel,,,
dosa king,N/A,hotel,,,
hotel durga lunch home,N/A,hotel,,,
hotel5,N/A,hotel,,,
isquareit girls hostel (Mithila hostel),N/A,hostel,,,https://www.isquareit.edu.in/hostel-accommodation/
nisarga dhaba,N/A,hotel,,,
points hostel Diat pune,N/A,hostel,,,https://www.diat.ac.in/
royal,N/A,hotel,,,
shitai hotel,N/A,hotel,,,
swa rashtra,N/A,hotel,,,
राजस्थानी होटल रंजनगांव,N/A,hotel,,,
