name,phone,all_mobiles,number_type,stars,area,website
Lemon Tree Premier Pune,8981433530,8981433530;8283212637;7720610219;8401220353;9402639773;8747127012;6212382811;6071641142;6568417720,mobile,,,https://www.lemontreehotels.com/lemon-tree-premier/pune/city-center-pune.aspx
Magnus Riverside,9036764684,9036764684;9184849547;8484954750;8484954705;8484954725;7459484819;9651761652;9324864676;9417244586;7700373919;7436697069;9249169037;7066041805;7387444624;6638288538;6638284026;6638285102;6638284789;6638284474;6638284286;8474482836;9835882836;7682482836;7120158283;7485443469;6444783719;9874828366,mobile,,,https://www.staymagnus.com/magnus-riverside-kalyani-nagar/
Mastiff Hotel,7631007241,7631007241;6011315064;7617767410;7746181408;7631029423;7705311850;7369637067;9335622093;6052611033;9734271652;6991600000;6013116134;7631036200;8861132251;9217669005;7631020213;9364009202;6157805479;7631021205;9486867288;7631044264;9891837033;6011313164;8179610269;7631009408;6156374846;9694322333;7631010258;6358959515;7447461204;6155772339;6309045549;7631018836;8790511236;9380902499;7631019750;9130066866;7631019161;7631031808;7618794619;7631015753;9412050582;6718599999;9663910038;7631039005;6041016290;9234318999;7631028822;9989947378;6013116141;9513267812;7631021556;6050718332;6157227043;9048829159;7935334240;6012016193;6306726241;6042415554;6052515244;6011318353;9306441177;7382603515;7676515454;6050717223;7631017710;7263052909;9209796014;7796677200;8517509323;7042131150;6509916420;9459000130;6042718453;7410110002;9694422333;6011712150;7760070222;7631021984;6011313134;8856959694;7064449004;7944414380;7631018338;7064449001;7631014864;8158185050;8894777016;7964279750;6030313023;6042718433;7631020779;7426269125;6011318263;6013116244;7702522214;7631009046;7631042356;9858197828;7758289609;7631037912;7631006745;9236841783;7631014272;7631005948;9770619443;7631011464;6042412115;9094533030;6030218534;8467364804;7631043857;7631045966;6569328824;6013116135;7330631188;6011313051;7631045636;6011318292;9035249695;7631016257;7684307910;7631016777;9346639100;7554700555;6366973255;6042412273;9035903598;9519288409;9002520028;8808618531;6321150978;7146841013;6430177521;8505021491;9621973013;9387212629;6693327755;6551060691;8241974508;6169921908;7271522311;6323905715;9765045919;8561057972;7280490013;8338101367;6686600319;8694654578;6244013671;8811360337;9022653393;9324920136;7228820136;7776101367;7753647872;8434613131;7416191013;6411013671;8113507730;7033073819;8888276868;8287918589;7620259190;6312020136;9111048733;6999999958;6965324013;9092141611;8940846376;9003392202;8636540136;8762315919;7226286448;7057910136;8914699201;7804181647;9414262760;7057872819;9703486780;9999999981;7598402919;9272410136;8694600228;8492919021;6409001367;9502120136;9694253091;9069828577;8236428823;9695965881;7378480131;7773843054;7450093013;9063881013;9667203919;9455409036;8144761893;9164978167;9234072275;8737499899;9620169718;9638714863;9190215202;7607369637;7948912013;7014270013;8184950013;8185184483;8710116226;8849276421;7165512013;7677167208;7996587711;6131720815;6107774988;6175834013;8483122991;9433592227;8300193669;7547600136;6982561724;9942090839;7855500745;8775261013;9443033919;8000044800;6030335490;7445139190;8888752137;8520101367;9357510136;8344916077;7450035919;9092503627;7051131240,mobile,,,https://www.orangetigerhotels.com/mastiff-hotels/mastiff-hotel-hinjawadi-pune/pune-hotels
The Corinthians Club,8888881126,8888881126;9657711662;9268484175;9198505957;6571484862;6611775691;7875950589;6211888888;6156417848;6536207568;9144513143;6780865702;7674149473;7976341315,mobile,5,Pune,https://www.thecorinthianspune.com/
The Orchid,9169166789,9169166789;7415587602;6559805499;9288836558;9768504110;9945089556;9876619619;8126246928;9862133716;7193594771;7135127723;8855638882;8350334044;8371359188;9792122042;7994319115;7219792123;6695362808;8843811172;9414651145;8457117529;7217443916;8310089428;8750259581;8037021285;6419722329;9524473761;6035035135;8498783044;8919457115;7443917222;7142607231;9821878037;8457112465;7211471894;7098230279;7302045843;8675011597;8373284571;7875874522;8944232473;6767102114;8284987853;8117548052;6243398218;6001929069;9386228498;9124317110;8073130230;8494376011;8848256695;7012443210;7298218730;9112647421;6562553993;9434852151;8775388568;9926914958;9280280731;9524461295;9124319926;8211052816;7213209616;8140743191;7211487235;8836041608;7071298218;9707319417;7213837321;8982340929;6130554439;6179495411;9229031461;8494785721;8457113467;7952727962;7110127222;9387274429;8286225479;9904585883;8836044425;9821878944;6538534495;9457113023;6277026153;6461291213,mobile,,,https://www.orchidhotel.com/pune/
Wellesley Hotel,9623411001,9623411001;8030303030;6783625731;7385647231;7485114112;7482535940;7397890301;7383098271;7382221343;7383013618;7044926815;7381443006;7383098273;7383250544;7466194119;7382223674;7383082975;6140350877;9090909090;7382227502;7467936567;9239766081;7492625368;9393939393;7395276997;8582677165;7142857142;7502402951;7492056552;7821977156;8387096774;7480009169;7481888374;7719298245;7382149999;7383114874;7382284747;7386531390;7812097916;7383233880;6549707602;7385799771;9011857707;7383117230;7676767676;8771929824;6358148399;6060606060;7383013619;7395276999;7382227503;7479996405;7383098272;7034215140;8181818181;7471361145;7381432606;8805970149;8803827751;8461538461;7383233879;7383092662;7812097917;7397872408;7382149998;9740259740;7385877296;7385822152;7383098270;6363636363;8584070796;7492043565;7386531389;6315789473;7011119956;7385822149;7381443007;7383114871;7272727272;8260869565;7965367965;7251461988;7383013617;7382150000;6608187134;7383013620;7749591745;7289038371;8581631038;8820572228;9600005128;7072890383;7115920420;9205431781;9047841138;6899941283;6177997583;9114916647;8042138081;9205722283;6617799758;8637498751;6237289038;6534312228;7818066793;7425122858;7617799758;6798313568;9847632228;9481631038;7517799758;7521141158;8983135683;8541163174;8941228583;7081631038;6026629038;9617799758;7425565029;8547388818;9015920420;6325122858;8781631038;8481631038;6380427879;7799758371;9100005128;8425122858;7863526294;9591631038;8881631038;6102631038;9163103837;9504151243;8202631038;7582417582;9127289038;6483516483;9517799758;9613274658;8617799758;8600005128;6481631038;6629038371;9476322283;9500005128;7482919014;7928038371;9071631038;6000051283;8127289038;8770034418;6927785837;9412285837;9274748228;7205722283;8517799758;7920572228;9670329670;6015920420;7000051283;6665814268;6720572228;6070034418;9783323837;6298313568;9147769078;8500005128;6504151243;9994122858;9881631038;7178411383;7983135683;7325122858;9325122858;9938418536;9816310383;9720572228;6491149166;6816310383;6542892917;7163103837;9560623418;8927289038;9203271138;9619790218;6956534029;8999941283;7177997583;7303271138;7237289038;8015920420;8163103837;7881631038;9417799758;6517799758;9600344183;7720572228;6594122858;6521141158;9332067079;9180242513;7996725937;6108833238;8115920420;7391631038,mobile,,,http://www.wellesleyhotel.in/
AISSMS College of Hotel Management,N/A,,N/A,,Shivajinagar,
AQUARIUS Resort & Lawns,N/A,,N/A,,Pune,
Advait Biryani,N/A,,N/A,,,
Akshat Hotel,N/A,,N/A,,Pimpri,
Ambience,N/A,,N/A,,,
Ambrai lodge,N/A,,N/A,,,
Anand hotel,N/A,,N/A,,Kharadi,
Apapa Idali Dosa Center,N/A,,N/A,,,
Apple Tree,N/A,,N/A,,,
Ashish Plaza,N/A,,N/A,,,
Ashoka Hotel,N/A,,N/A,,Pimpri,
"Aura Celestia - Bar, Kitchen & Celebration",N/A,,N/A,,,
Aurora Towers,N/A,,N/A,,,
Banyan Tree,N/A,,N/A,,nigdi,
Central Park,N/A,,N/A,,,
Chaitrali Hotel,N/A,,N/A,,Shivajinagar,
City Point Restaurant and Bar,N/A,,N/A,,,
Conrad Pune,N/A,,N/A,5,Pune,https://www.hilton.com/en/hotels/pnqcici-conrad-pune/
Coronet Hotel,N/A,,N/A,,,
Courtyard Marriott,N/A,,N/A,,,
Courtyard Marriott Hinjawadi,N/A,,N/A,,Pune,https://www.marriott.com/en-us/hotels/pnqph-courtyard-pune-hinjewadi/overview/
Crowne Plaza,N/A,,N/A,,,
Da Casa Business Hotel डा कासा बिज़नस होटल,N/A,,N/A,,,http://dacasahotel.com/
Dosti Hotel,N/A,,N/A,,Pimpri,
DoubleTree by Hilton Hotel Pune - Chinchwad,N/A,,N/A,,Pimpri,
Ekaant- The Retreat Hotel,N/A,,N/A,,"Dasve, Lavasa",http://www.ekaant.com/
Eminent Hotel,N/A,,N/A,,Baner,
Executive Tamanna,N/A,,N/A,,,
FabHotels Imperio,N/A,,N/A,,,
Fairfield by Marriott Pune Kharadi,N/A,,N/A,,,
Fortune Select Dasve,N/A,,N/A,,"Dasve, Lavasa",https://www.fortunehotels.in/resort/Lavasa-Fortune_Select_Dasve.aspx
Four Points by Sheraton,N/A,,N/A,,Viman Nagar,https://www.marriott.com/en-us/hotels/pnqfp-four-points-by-sheraton-hotel-and-serviced-apartments-pune/overview/
Garuda,N/A,,N/A,,,
Ginger hotel,N/A,,N/A,,,
Golden Fields,N/A,,N/A,,,
GoodLuck,N/A,,N/A,,,
Govind Hari Vadevale,N/A,,N/A,,,
H.A. Hotel,N/A,,N/A,,pimpri,
HARIYALADAMMA ENTERPRISES,N/A,,N/A,,,
HOTEL ROYAL INDIANS,N/A,,N/A,,Hinjawadi,
Hill Top,N/A,,N/A,,,
Hill View,N/A,,N/A,,,
Hilton Garden Inn,N/A,,N/A,,Pune,https://www.hilton.com/en/hotels/pnqhpgi-hilton-garden-inn-pune-hinjawadi
Holiday Inn Express Pune Hinjawadi,N/A,,N/A,,,https://www.ihg.com/holidayinnexpress/hotels/gb/en/maharashtra/mhzph/hoteldetail
Holiday Inn Express Pune Pimpri,N/A,,N/A,,Pune,https://www.ihg.com/holidayinnexpress/hotels/us/en/pune-pimpri/pnqpp/hoteldetail
Hotel Aamantran beer bar & restaurant,N/A,,N/A,,Pimpri,
Hotel Abhijeet New Sweet Home,N/A,,N/A,,,
Hotel Agatya,N/A,,N/A,,,
Hotel Amantran,N/A,,N/A,,Pimpri,https://hotel-amantran-veg-non-veg.business.site/?utm_source=gmb&utm_medium=referral
Hotel Amrale Misal,N/A,,N/A,,,
Hotel Amrita Executive,N/A,,N/A,,,
Hotel Arjun,N/A,,N/A,,Baner,
Hotel Arusai,N/A,,N/A,,Pune,
Hotel Ashirwad,N/A,,N/A,,,
Hotel Ashoka,N/A,,N/A,,,
Hotel Bhairavee,N/A,,N/A,,Baner,
Hotel Bhooshan,N/A,,N/A,,,
Hotel Blu Grass,N/A,,N/A,,Hinjawadi,
Hotel Centro,N/A,,N/A,,,
Hotel Chul Mutton,N/A,,N/A,,Baner,
Hotel Crown Imperial,N/A,,N/A,,,
Hotel Executive Residency,N/A,,N/A,,,
Hotel Gaonkari,N/A,,N/A,,Hinjawadi,
Hotel Garawa,N/A,,N/A,,,
Hotel Green Park,N/A,,N/A,,,
Hotel Gulmohr,N/A,,N/A,,,
Hotel Haveli,N/A,,N/A,,,
Hotel Jagdamba,N/A,,N/A,,Pimpri,
Hotel Janjira,N/A,,N/A,,,
Hotel Jeevan,N/A,,N/A,,Pimpri,
Hotel Jolly Restro Bar & Lodge,N/A,,N/A,,,
Hotel Kala Sagar,N/A,,N/A,,,
Hotel Kohinoor Jejuri,N/A,,N/A,,,
Hotel Kohinoor Residency,N/A,,N/A,,,
Hotel Krishna,N/A,,N/A,,,
Hotel Lotus,N/A,,N/A,,,
Hotel Madhav,N/A,,N/A,,,
Hotel Mahableshwar,N/A,,N/A,,Baner,
Hotel Maharaja,N/A,,N/A,,,
Hotel Maifil,N/A,,N/A,,Pimpri,
Hotel Malhar,N/A,,N/A,,Pimpri,
Hotel Martand Vijay Lodge,N/A,,N/A,,,
Hotel Mukeshi Pantarn,N/A,,N/A,,Pimpri,
Hotel Muktai Veg & Non Veg,N/A,,N/A,,Pune,
Hotel Nilayam Family Restaurant,N/A,,N/A,,Baner,
Hotel O Galaxy,N/A,,N/A,,Koregaon Park,
Hotel Omkar Dining Hall,N/A,,N/A,,Hinjawadi,
Hotel Palkhi,N/A,,N/A,,Pimpri,https://hotel-palkhi-fast-food-restaurant.business.site/
Hotel Parichay,N/A,,N/A,,Baner,
Hotel Prasanna,N/A,,N/A,,Baner,
Hotel Radiant Lodge,N/A,,N/A,,Pune,
Hotel Raj,N/A,,N/A,,,
Hotel Royal Palace,N/A,,N/A,,,
Hotel Samrat,N/A,,N/A,,,
Hotel Samrat Lodge,N/A,,N/A,,Pimpri,
Hotel Sargam,N/A,,N/A,,,
Hotel Sarthak Lodge,N/A,,N/A,,,
Hotel Sasarwadi Mutton Khanawal,N/A,,N/A,,Baner,
Hotel Shilpa (Gavran),N/A,,N/A,,Pimpri,
Hotel Shivshahi,N/A,,N/A,,Hadapsar,
Hotel Solitaire,N/A,,N/A,,Hinjawadi,
Hotel Sundaram Restaurant & Bar,N/A,,N/A,,Pimpri,
Hotel Suruchi Satyam Lodge,N/A,,N/A,,,
Hotel Tip Top International,N/A,,N/A,,,
Hotel Tulsi Pure Veg,N/A,,N/A,,Baner,
Hotel Turning Point,N/A,,N/A,,,
Hotel Woodland,N/A,,N/A,,Pune,
Hotel Yellow House,N/A,,N/A,,,
Hotel kunal garden,N/A,,N/A,,Pune,
Hotel prathamjay,N/A,,N/A,,pune,
Hyatt Palace,N/A,,N/A,,Pune,
Hyatt Pune,N/A,,N/A,,Pune,https://www.hyatt.com/hyatt-hotels/en-US/pnqhy-hyatt-pune
Hyatt Regency Pune,N/A,,N/A,,Pune,
Hygiene hotel,N/A,,N/A,,PUNE,
I Love Delight Chinese,N/A,,N/A,,,
Ibis,N/A,,N/A,,,
Ibis Hinjawadi,N/A,,N/A,,,
Ibis Pune Viman Nagar,N/A,,N/A,,,
JW Marriott Pune,N/A,,N/A,5,,
Jagdamb hotel,N/A,,N/A,,Hadapsar,
Janjira hotel,N/A,,N/A,,Pimpri,
Kapila Business Hotel,N/A,,N/A,,Pune,https://www.kapila.com
Keys Hotel,N/A,,N/A,,,
Kohinoor Executive,N/A,,N/A,,,https://www.kohinoorhotels.com/Executive/info.htm
Krishna Hotel And Restaurant,N/A,,N/A,,,
Kunal Hotel,N/A,,N/A,,,
Kwality Biryani,N/A,,N/A,,,
MTDC Resort,N/A,,N/A,,,https://www.maharashtratourism.gov.in/mtdc/HTML/MaharashtraTourism/PlanYourTrip/resortshotels.aspx
Madhuban hotel,N/A,,N/A,,Pimpri,
Mahabaleshwar Hotel,N/A,,N/A,,Baner,
Mahi Dhaba,N/A,,N/A,,,
Marriott Suites Pune,N/A,,N/A,,Pune,
Mauli Dhaba,N/A,,N/A,,,
Maval Food Junction,N/A,,N/A,,,
Maval Grrand,N/A,,N/A,,,
Mecure Hotel,N/A,,N/A,,"Dasve, Lavasa",
Mejwani pure veg,N/A,,N/A,,Pune,
Mind Space Hotel,N/A,,N/A,,Pune,
Moneta,N/A,,N/A,,Pune,
Namaskar Hotel & Bar,N/A,,N/A,,Shivajinagar,
Nana Shri Hotel,N/A,,N/A,,,
Neela Executive,N/A,,N/A,,,
Nishigandha,N/A,,N/A,,,
O Hotel Pune,N/A,,N/A,,,
OYO Flagship IT Park,N/A,,N/A,,,
OYO Hotel G Residency near INOX,N/A,,N/A,,,
OYO Townhouse,N/A,,N/A,,,
OYO Vys Inn,N/A,,N/A,,,
Om Sai Khanaval,N/A,,N/A,,,
Oyo Kamini,N/A,,N/A,,,
Pancard Hotel,N/A,,N/A,,Baner,
Panchratna,N/A,,N/A,,,
Park Central Hotel,N/A,,N/A,,Koregaon Park,
Premier Tamanna Hotel,N/A,,N/A,,,
Pride,N/A,,N/A,,,
Prince Regency,N/A,,N/A,,,
Radison Blu Hotel,N/A,,N/A,,Kharadi,https://www.radissonhotels.com/en-us/hotels/radisson-blu-kharadi-pune
Radisson Blu,N/A,,N/A,,,
Rahul Biryani,N/A,,N/A,,,
Raj Mahal,N/A,,N/A,,,
Rajratna Executive,N/A,,N/A,,,
Rajwada Hotel,N/A,,N/A,,Pimpri,
Raviraj,N/A,,N/A,,,
Raviraj Hotel,N/A,,N/A,,Pimpri,
Regenta,N/A,,N/A,,,
Ritz Hotel,N/A,,N/A,,,
Royal Hotel,N/A,,N/A,,Pune,
Royal Orchid Central,N/A,,N/A,,Pune,http://www.royalorchidhotels.com
Royalty,N/A,,N/A,,Pune,
Rupa Lodge,N/A,,N/A,,,
Sadanand,N/A,,N/A,,,
Sadanand Hotel,N/A,,N/A,,Baner,
Sadguru Wade Wale And Special Missile House,N/A,,N/A,,,
Sagar Plaza,N/A,,N/A,,,
Sai Vishwa Lodge,N/A,,N/A,,,
Samadhan Mutton Khanawal,N/A,,N/A,,,
Sayaji,N/A,,N/A,5,,https://www.sayajihotels.com/sayaji-pune/overview
Seven Loves,N/A,,N/A,,Pune,
Sheraton Grand,N/A,,N/A,,,
Sheraton Grand Pune,N/A,,N/A,,,
Shivneri Food Mall,N/A,,N/A,,,
Shree Inn,N/A,,N/A,,,
Shree Vitthal Dhaba,N/A,,N/A,,,
Shubham Misal,N/A,,N/A,,Ravet,
Siddeshwar hotel,N/A,,N/A,,,
Sirona,N/A,,N/A,,,
Smart Inn,N/A,,N/A,,,http://www.smartinn.co.in/
Sonai veg,N/A,,N/A,,,
Sriman,N/A,,N/A,,,
St. Laurn Business Hotel,N/A,,N/A,,Pune,
Stonarc,N/A,,N/A,,,
Sun N Sand,N/A,,N/A,,,
Surya Villa Hotel,N/A,,N/A,,Koregaon Park,
Swagat Luxury Lodging,N/A,,N/A,,,
The Dasvino Town and Country Club,N/A,,N/A,,"Dasve, Lavasa",
The Deccan Royale Hotel,N/A,,N/A,,Pune,
The Golden Arc Boutique Hotel,N/A,,N/A,,,
The Gordon House,N/A,,N/A,,,
The Highstreet Legacy,N/A,,N/A,,,
The Monarch Chakan,N/A,,N/A,,,
The O Hotel,N/A,,N/A,,,
The Oakwood Hotel,N/A,,N/A,3,,
The Pride Hotel,N/A,,N/A,,Pune,https://www.pridehotel.com/pune-hotels/
Treebo Hotels Guest House,N/A,,N/A,,,
Treebo Ranjana's,N/A,,N/A,,,
Treebo Sumati Baner,N/A,,N/A,,,
Treebo Trend Niraali Executive,N/A,,N/A,,,
Utarayana Hotel Road,N/A,,N/A,,Pimpri,
Vaibhav Hotel,N/A,,N/A,,,
Vithu Mauli Dhaba,N/A,,N/A,,,
Viva Inn,N/A,,N/A,,,
Vivanta,N/A,,N/A,,,https://www.vivantahotels.com/en-in/vivanta-pune-hinjawadi/
"Vivanta By Taj - Blue Diamond, Pune",N/A,,N/A,,Koregaon Park,https://www.vivantabytaj.com/Blue-Diamond-Pune/Overview.html
Vrindavan Misal,N/A,,N/A,,,
Westin,N/A,,N/A,,Pune,
YKS Sizzlers,N/A,,N/A,,,
annapurna hotel,N/A,,N/A,,,
dosa king,N/A,,N/A,,,
hotel durga lunch home,N/A,,N/A,,,
hotel5,N/A,,N/A,,,
nisarga dhaba,N/A,,N/A,,,
royal,N/A,,N/A,,,
shitai hotel,N/A,,N/A,,,
swa rashtra,N/A,,N/A,,,
vanita hotel,N/A,,N/A,,Pimpri,
राजस्थानी होटल रंजनगांव,N/A,,N/A,,,
